Date,Open,High,Low,Close,Adj Close,Volume
2013-12-09,40.380001,41.169998,40.009998,40.040001,34.285866,112004100
2013-12-16,40.560001,41.849998,39.860001,40.990002,35.099342,188611600
2013-12-23,40.900002,41.849998,40.610001,40.939999,35.056538,49196400
2013-12-30,41,41.130001,39,39.57,33.883408,76028700
2014-01-06,39.900002,40.939999,39.639999,40.029999,34.277306,74949400
2014-01-13,40.16,40.639999,38.330002,38.599998,33.052803,191684500
2014-01-20,38.889999,39,36.700001,36.830002,31.53718,107809400
2014-01-27,36.799999,37.279999,35.880001,36.080002,30.894955,110048100
2014-02-03,36.27,36.470001,34.360001,36.110001,30.920645,174302600
2014-02-10,35.91,36.080002,34.619999,35.950001,30.783646,143609900
2014-02-17,36.43,36.75,36,36.689999,31.417295,117976900
2014-02-24,36.700001,37.130001,35.889999,36.200001,30.997719,144257000
2014-03-03,35.700001,38.049999,35.700001,37.689999,32.273579,107039800
2014-03-10,37.560001,37.560001,33.57,34.09,29.190943,176423700
2014-03-17,34.139999,36,33.709999,35.009998,30.244888,104183200
2014-03-24,34.689999,35.18,34.110001,34.73,30.002998,98834400
2014-03-31,34.529999,35.700001,33.950001,34.810001,30.072113,153673900
2014-04-07,34.669998,34.73,31.700001,31.93,27.584101,158191400
2014-04-14,32.290001,34.09,32.150002,33.98,29.355083,72702400
2014-04-21,33.950001,35.700001,33.52,33.720001,29.130466,87648400
2014-04-28,33.93,35.400002,33.52,34.970001,30.210339,77270700
2014-05-05,34.84,35.43,34.150002,34.23,29.571053,54888300
2014-05-12,34.380001,35.189999,33.490002,34,29.37236,68616300
2014-05-19,33.84,34.349998,32.959999,33.630001,29.052719,62987800
2014-05-26,33.919998,34.650002,33.77,34.580002,29.873415,46623900
2014-06-02,34.540001,37.040001,34.290001,36.549999,31.575283,105342300
2014-06-09,36.470001,36.830002,35.380001,35.630001,31.037214,56471300
2014-06-16,35.490002,36.639999,35.490002,36.220001,31.551165,67463800
2014-06-23,36.209999,37.18,36.189999,36.619999,31.899609,75707600
2014-06-30,36.59,38.150002,35.98,37.740002,32.875248,68692200
2014-07-07,37.91,38.130001,37.169998,37.950001,33.05817,50691700
2014-07-14,38.099998,38.130001,37.009998,37.41,32.587776,48626900
2014-07-21,37.380001,37.919998,34.560001,35.07,30.549406,94377400
2014-07-28,35.029999,35.200001,33.299999,33.439999,29.129519,79305300
2014-08-04,33.759998,34.02,32.799999,33.529999,29.207914,54676500
2014-08-11,33.639999,34.16,33.220001,33.84,29.477957,52444100
2014-08-18,34.09,34.75,34.040001,34.240002,29.826397,45113600
2014-08-25,34.43,35,34.220001,34.799999,30.314205,35719500
2014-09-01,34.880001,35.139999,34.23,34.580002,30.122566,42688600
2014-09-08,34.029999,34.150002,33.009998,33.27,28.98143,65609200
2014-09-15,33.16,34.240002,33.150002,33.939999,29.823793,57344900
2014-09-22,33.740002,33.84,32.830002,33.169998,29.147184,52304100
2014-09-29,32.970001,33.900002,31.67,33.759998,29.665632,113416300
2014-10-06,33.84,34.240002,30.09,30.290001,26.61647,106655500
2014-10-13,30.290001,30.969999,28.82,30.24,26.572536,98407800
2014-10-20,30.219999,31.99,29.98,30.040001,26.39679,97865500
2014-10-27,30.15,31.620001,29.82,31.4,27.591852,76112900
2014-11-03,31.35,31.74,30.559999,31.59,27.75881,55899400
2014-11-10,31.33,32.009998,30.82,31.790001,27.934553,42144300
2014-11-17,32,32.549999,31.799999,32.130001,28.23332,46576700
2014-11-24,32.25,33.540001,31.77,33.43,29.375654,44037100
2014-12-01,33.310001,34.09,32.860001,33.93,29.815014,70228800
2014-12-08,33.52,33.560001,31.57,31.57,27.741236,63378100
2014-12-15,31.700001,32.93,30.299999,32.810001,29.088037,86762700
2014-12-22,32.630001,33.849998,32.619999,33.73,29.903667,32882400
2014-12-29,33.869999,35.450001,33.790001,34.84,30.887754,53657600
